gene,ensg,condition,top_disease,overall_status,kd_ok,ontarget_significant,effect_size,n_downstream,program_contrast,program_adj_p,n_program_contrasts_sig,disease_OR,disease_FDR,n_disease_clusters,effect_term,program_term,disease_term,novelty_bonus,chain_score,effect_status,program_status,disease_status
TRIB1,ENSG00000173334,Stim8hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.2234,0.0,Th2_vs_Th1 (Ota 2021),3.194e-06,1,2.9314,0.0496,2,2.2217,5.4957,2.2038,0.25,12.4016,supported,supported,supported
ETS2,ENSG00000157557,Rest,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.4937,1.0,Th2_vs_Th1 (Ota 2021),6.204e-06,1,2.9229,0.0045,3,2.3508,5.2073,2.7208,0.2,12.3347,supported,supported,supported
CXCR4,ENSG00000121966,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-17.1426,0.0,Th2_vs_Th1 (Ota 2021),1.409e-06,1,2.2157,0.0025,9,2.5649,5.8511,2.4488,0.1333,12.3135,supported,supported,supported
STAT5B,ENSG00000173757,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-7.5014,594.0,Th2_vs_Th1 (Ota 2021),1.04e-05,1,2.2219,0.005,1,2.1402,4.983,2.3023,0.3,12.2532,supported,supported,supported
TP53INP1,ENSG00000164938,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.1186,0.0,Th2_vs_Th1 (Ota 2021),9.499e-06,1,2.2157,0.0025,2,2.3144,5.0223,2.4488,0.25,12.2319,supported,supported,supported
ZEB2,ENSG00000169554,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-0.7174,2.0,Th2_vs_Th1 (Ota 2021),5.344e-09,2,2.2219,0.0025,4,0.5408,8.2721,2.4528,0.075,12.1107,refuted,supported,supported
SLC39A8,ENSG00000138821,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-28.4704,5.0,Th2_vs_Th1 (Ota 2021),0.0001829,1,3.3018,0.0005511,2,2.5649,3.7378,3.3526,0.25,12.0692,supported,supported,supported
CUTA,ENSG00000112514,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,True,-23.1359,1.0,Th2_vs_Th1 (Ota 2021),6.004e-06,1,1.9783,0.0184,2,2.5649,5.2216,1.8519,0.25,12.048,flagged,supported,supported
CD226,ENSG00000150637,Stim48hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.269,0.0,Th2_vs_Th1 (Ota 2021),4.654e-05,1,3.956,0.0006502,4,2.3291,4.3322,3.5775,0.175,12.0306,supported,supported,supported
PDE4A,ENSG00000065989,Stim8hr,rheumatoid arthritis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-0.4921,0.0,Th2_vs_Th1 (Ota 2021),8.578e-08,1,3.0478,0.0018,6,0.4002,7.0666,2.9801,0.15,12.014,refuted,supported,supported
TNFSF8,ENSG00000106952,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-17.282,2.0,Th2_vs_Th1 (Ota 2021),0.0001303,1,5.2985,0.0347,2,2.5649,3.8851,3.1354,0.25,11.9818,supported,supported,supported
INPP5A,ENSG00000068383,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-10.6144,4.0,Th2_vs_Th1 (Ota 2021),2.091e-06,2,2.8934,0.0048,3,2.4522,5.6796,2.6921,0.1,11.9064,supported,supported,supported
DNAJB9,ENSG00000128590,Stim8hr,type 1 diabetes mellitus,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,True,-12.8453,117.0,Th2_vs_Th1 (Ota 2021),0.0004528,1,4.0078,0.0052,1,2.5649,3.3441,3.1448,0.3,11.77,flagged,supported,supported
LMNA,ENSG00000160789,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-12.9832,9.0,Th2_vs_Th1 (Ota 2021),3.216e-05,1,2.018,0.0124,1,2.5649,4.4927,1.9662,0.3,11.731,supported,supported,supported
TMEM50A,ENSG00000183726,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-30.0238,2.0,Th2_vs_Th1 (Ota 2021),0.0066,1,3.0405,5.05e-06,1,2.5649,2.1805,4.2527,0.3,11.6975,supported,supported,supported
CD226,ENSG00000150637,Stim8hr,systemic lupus erythematosus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-13.2023,1.0,Th2_vs_Th1 (Ota 2021),4.654e-05,1,3.7403,0.0025,7,2.5649,4.3322,3.2042,0.1429,11.5444,supported,supported,supported
STK17B,ENSG00000081320,Stim8hr,inflammatory bowel disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-4.0029,0.0,Th2_vs_Th1 (Ota 2021),5.621e-06,1,2.6869,0.0141,2,1.61,5.2502,2.3513,0.25,11.5144,refuted,supported,supported
TNFSF8,ENSG00000106952,Stim8hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-14.9838,6.0,Th2_vs_Th1 (Ota 2021),0.0001303,1,3.2899,0.0114,2,2.5649,3.8851,2.6896,0.25,11.4245,supported,supported,supported
EGR2,ENSG00000122877,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.0613,854.0,Th2_vs_Th1 (Hollbacker 2021),0.0494,1,20.424,4.971e-05,34,2.49,1.3063,6.504,0.1088,11.4212,supported,supported,supported
NFKBIA,ENSG00000100906,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-7.4643,5.0,Th2_vs_Th1 (Ota 2021),0.0388,1,20.424,4.971e-05,11,2.1359,1.4112,6.504,0.1273,11.3302,supported,supported,supported
NRN1,ENSG00000124785,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.5017,1.0,Th2_vs_Th1 (Ota 2021),4.486e-05,1,2.5487,0.0003376,1,1.2532,4.3481,3.0856,0.3,11.293,refuted,supported,supported
LTA,ENSG00000226979,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-6.9192,9.0,Th2_vs_Th1 (Ota 2021),8.505e-06,1,1.9783,0.0184,2,2.0693,5.0703,1.8519,0.25,11.2393,supported,supported,supported
KCTD20,ENSG00000112078,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-18.3115,1.0,Th2_vs_Th1 (Ota 2021),8.044e-05,1,2.8934,0.0048,3,2.5649,4.0945,2.6921,0.2,11.2219,supported,supported,supported
IL5,ENSG00000113525,Stim48hr,asthma,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.9938,1.0,Th2_vs_Th1 (Ota 2021),6.635e-06,1,2.5622,0.0095,2,1.3847,5.1782,2.3685,0.25,11.1643,refuted,supported,supported
MAF,ENSG00000178573,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-3.213,137.0,Th2_vs_Th1 (Ota 2021),8.299e-07,1,2.018,0.0124,4,1.4382,6.081,1.9662,0.175,11.1453,supported,supported,supported
RSRP1,ENSG00000117616,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-15.2197,0.0,Th2_vs_Th1 (Ota 2021),3.419e-05,1,1.9783,0.0184,2,2.5649,4.4661,1.8519,0.25,11.1036,supported,supported,supported
TRIM22,ENSG00000132274,Stim48hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-10.1602,11.0,Th2_vs_Th1 (Ota 2021),2.802e-05,2,3.956,0.0006502,6,2.4124,4.5525,3.5775,0.05,11.0695,supported,supported,supported
DMAC1,ENSG00000137038,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.3345,14.0,Th2_vs_Th1 (Ota 2021),1.917e-05,1,2.5496,0.0184,3,2.2337,4.7174,2.2179,0.2,11.0027,supported,supported,supported
NDUFV2,ENSG00000178127,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-27.9337,23.0,Th2_vs_Th1 (Ota 2021),1.487e-05,1,2.018,0.0124,4,2.5649,4.8277,1.9662,0.175,10.9967,supported,supported,supported
NEK6,ENSG00000119408,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.9975,0.0,Th2_vs_Th1 (Ota 2021),1.14e-07,2,2.2219,0.005,9,1.3857,6.9431,2.3023,0.0333,10.9854,refuted,supported,supported
LMAN1,ENSG00000074695,Rest,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.5282,0.0,Th2_vs_Th1 (Ota 2021),0.0001206,1,2.0975,0.0068,1,2.3541,3.9187,2.1524,0.3,10.9527,supported,supported,supported
ATP8B4,ENSG00000104043,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.6315,0.0,Th2_vs_Th1 (Ota 2021),0.0143,1,3.0405,5.05e-06,1,2.265,1.8447,4.2527,0.3,10.8711,supported,supported,supported
TGFBR3,ENSG00000069702,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-7.1579,2.0,Th2_vs_Th1 (Ota 2021),4.181e-05,1,2.5496,0.0184,2,2.099,4.3787,2.2179,0.25,10.8695,supported,supported,supported
RGS1,ENSG00000090104,Stim8hr,multiple sclerosis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-0.9029,0.0,Th2_vs_Th1 (Ota 2021),1.465e-06,1,2.8606,0.0438,2,0.6434,5.8342,2.1956,0.25,10.8414,refuted,supported,supported
SLC39A8,ENSG00000138821,Stim48hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-34.598,0.0,Th2_vs_Th1 (Ota 2021),0.0001829,1,3.2947,0.0095,3,2.5649,3.7378,2.7313,0.2,10.8408,supported,supported,supported
IRF4,ENSG00000137265,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.3805,566.0,Th2_vs_Th1 (Ota 2021),5.79e-05,1,3.8545,0.0123,16,2.5161,4.2373,2.9016,0.1188,10.8016,supported,supported,supported
SEC61B,ENSG00000106803,Stim48hr,asthma,"partial chain - effect:untested, program:supported, disease:supported",1,,,,Th2_vs_Th1 (Ota 2021),6.962e-07,1,2.3613,0.0265,1,0.0,6.1573,2.028,0.3,10.6408,untested,supported,supported
EMB,ENSG00000170571,Stim8hr,type 1 diabetes mellitus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-14.5127,59.0,Th2_vs_Th1 (Ota 2021),0.000383,1,2.7316,0.0352,1,2.5649,3.4168,2.1765,0.3,10.6057,supported,supported,supported
PTGER4,ENSG00000171522,Stim8hr,type 1 diabetes mellitus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-12.4344,3.0,Th2_vs_Th1 (Ota 2021),0.0005107,1,4.0078,0.0052,4,2.5649,3.2918,3.1448,0.175,10.5769,supported,supported,supported
LTA,ENSG00000226979,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-5.923,2.0,Th2_vs_Th1 (Ota 2021),8.505e-06,1,2.018,0.0124,4,1.9348,5.0703,1.9662,0.175,10.5414,supported,supported,supported
IL10,ENSG00000136634,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-5.1957,0.0,Th2_vs_Th1 (Ota 2021),3.137e-05,1,2.5487,0.0003376,16,1.8239,4.5035,3.0856,0.1188,10.5307,supported,supported,supported
RNF19A,ENSG00000034677,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.8661,6.0,Th2_vs_Th1 (Ota 2021),5.541e-05,1,2.2219,0.0025,9,2.5546,4.2564,2.4528,0.1333,10.499,supported,supported,supported
ADPRH,ENSG00000144843,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-7.9641,0.0,Th2_vs_Th1 (Ota 2021),0.0005018,1,2.3196,0.002,1,2.1932,3.2995,2.5634,0.3,10.4729,supported,supported,supported
FKBP5,ENSG00000096060,Stim48hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-16.7266,1.0,Th2_vs_Th1 (Ota 2021),0.0002643,1,3.3994,0.0115,4,2.5649,3.5779,2.7349,0.175,10.4314,supported,supported,supported
ARSB,ENSG00000113273,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.8945,3.0,Th2_vs_Th1 (Ota 2021),0.000249,1,2.8071,0.0025,3,2.292,3.6038,2.7901,0.2,10.4231,supported,supported,supported
FKBP5,ENSG00000096060,Rest,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-15.2686,8.0,Th2_vs_Th1 (Ota 2021),0.0002643,1,2.9229,0.0045,4,2.5649,3.5779,2.7208,0.175,10.4148,supported,supported,supported
CRY1,ENSG00000008405,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-15.01,5.0,Th2_vs_Th1 (Ota 2021),0.0011,1,2.2219,0.0025,1,2.5649,2.9586,2.4528,0.3,10.3693,supported,supported,supported
CARD11,ENSG00000198286,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-4.4617,406.0,Th2_vs_Th1 (Ota 2021),0.0002231,1,3.8545,0.0123,2,1.6978,3.6515,2.9016,0.25,10.3136,supported,supported,supported
ZFP36L2,ENSG00000152518,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-5.3817,0.0,Th2_vs_Th1 (Ota 2021),2.395e-05,1,1.9239,0.0239,2,1.8534,4.6207,1.7548,0.25,10.2862,supported,supported,supported
CD247,ENSG00000198821,Rest,Hashimoto's thyroiditis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-13.2625,4.0,Th2_vs_Th1 (Ota 2021),0.002,1,3.4852,0.0237,1,2.5649,2.699,2.6139,0.3,10.2411,supported,supported,supported
GNG2,ENSG00000186469,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-23.9541,4.0,Th2_vs_Th1 (Ota 2021),0.001,1,2.2219,0.005,1,2.5649,3.0,2.3023,0.3,10.2274,supported,supported,supported
SOCS1,ENSG00000185338,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.6982,4.0,Th2_vs_Th1 (Ota 2021),0.0033,1,4.8979,0.0005224,4,2.2719,2.4815,3.9332,0.175,10.2067,supported,supported,supported
TBC1D10C,ENSG00000175463,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-22.4491,0.0,Th2_vs_Th1 (Ota 2021),0.0091,1,3.8985,0.0028,1,2.5649,2.041,3.2393,0.3,10.1988,supported,supported,supported
NLRC5,ENSG00000140853,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-18.4393,8.0,Th2_vs_Th1 (Ota 2021),0.0466,1,3.0405,5.05e-06,2,2.5649,1.3316,4.2527,0.25,10.1865,supported,supported,supported
TRIM22,ENSG00000132274,Stim8hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-14.1616,0.0,Th2_vs_Th1 (Ota 2021),2.802e-05,2,2.9314,0.0255,4,2.5649,4.5525,2.3483,0.075,10.1757,supported,supported,supported
AQP3,ENSG00000165272,Stim8hr,atopic eczema,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.697,0.0,Th2_vs_Th1 (Ota 2021),0.0026,1,4.8979,0.0005224,1,1.3075,2.585,3.9332,0.3,10.1734,refuted,supported,supported
DENND3,ENSG00000105339,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-3.0261,3.0,Th2_vs_Th1 (Ota 2021),9.178e-06,1,1.8335,0.0253,2,1.3928,5.0373,1.673,0.25,10.1289,refuted,supported,supported
STAT6,ENSG00000166888,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-18.7444,232.0,Th2_vs_Th1 (Ota 2021),0.0268,1,4.8979,0.0005224,2,2.5649,1.5719,3.9332,0.25,10.0875,supported,supported,supported
TXK,ENSG00000074966,Stim8hr,multiple sclerosis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-6.257,0.0,Th2_vs_Th1 (Ota 2021),0.0003558,1,2.893,0.0308,1,1.982,3.4488,2.2883,0.3,10.0348,supported,supported,supported
TYMP,ENSG00000025708,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-12.6226,0.0,Th2_vs_Th1 (Ota 2021),0.021,1,3.0405,5.05e-06,4,2.5649,1.6778,4.2527,0.175,9.9821,supported,supported,supported
FKBP5,ENSG00000096060,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-14.9374,15.0,Th2_vs_Th1 (Ota 2021),0.0002643,1,2.2219,0.005,4,2.5649,3.5779,2.3023,0.175,9.9231,supported,supported,supported
ARSB,ENSG00000113273,Stim8hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.0992,4.0,Th2_vs_Th1 (Ota 2021),0.000249,1,2.9054,0.0253,3,2.3125,3.6038,2.3372,0.2,9.9041,supported,supported,supported
PGS1,ENSG00000087157,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-7.3177,151.0,Th2_vs_Th1 (Ota 2021),0.000121,1,1.9783,0.0184,2,2.1184,3.9172,1.8519,0.25,9.8593,supported,supported,supported
PSMB9,ENSG00000240065,Rest,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,True,-26.6717,87.0,Th2_vs_Th1 (Ota 2021),0.009,1,4.6227,0.0303,1,2.5649,2.0458,2.968,0.3,9.8523,flagged,supported,supported
STK17B,ENSG00000081320,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.1672,0.0,Th2_vs_Th1 (Ota 2021),5.621e-06,1,2.018,0.0124,4,1.1528,5.2502,1.9662,0.175,9.8339,refuted,supported,supported
DUSP16,ENSG00000111266,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.144,5.0,Th2_vs_Th1 (Ota 2021),0.0053,1,2.5487,0.0003376,2,2.4968,2.2757,3.0856,0.25,9.8226,supported,supported,supported
CDK6,ENSG00000105810,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,True,-7.7114,2.0,Th2_vs_Th1 (Ota 2021),0.0732,0,3.0405,5.05e-06,1,2.1646,1.1355,4.2527,0.3,9.8186,supported,refuted,supported
IL10,ENSG00000136634,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-3.4829,2.0,Th2_vs_Th1 (Ota 2021),3.137e-05,1,2.3196,0.002,7,1.5003,4.5035,2.5634,0.1429,9.791,refuted,supported,supported
RCAN1,ENSG00000159200,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.4481,0.0,Th2_vs_Th1 (Ota 2021),7.573e-05,1,2.2219,0.0025,2,1.2378,4.1207,2.4528,0.25,9.7642,refuted,supported,supported
CEBPB,ENSG00000172216,Stim48hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.9533,12.0,Th2_vs_Th1 (Ota 2021),0.0007737,1,2.2364,0.0496,1,2.5614,3.1114,1.8134,0.3,9.7321,supported,supported,supported
GNG2,ENSG00000186469,Rest,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-32.6311,15.0,Th2_vs_Th1 (Ota 2021),0.001,1,2.0975,0.0068,2,2.5649,3.0,2.1524,0.25,9.6467,supported,supported,supported
AHI1,ENSG00000135541,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-14.5584,1.0,Th2_vs_Th1 (Ota 2021),0.0246,1,3.0405,5.05e-06,7,2.5649,1.6091,4.2527,0.1429,9.6305,supported,supported,supported
SATB1,ENSG00000182568,Rest,Crohn's disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.9628,6.0,Th2_vs_Th1 (Ota 2021),0.0009101,1,4.651,0.0001227,15,1.377,3.0409,4.1731,0.12,9.6219,refuted,supported,supported
DCTD,ENSG00000129187,Stim48hr,systemic lupus erythematosus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-25.4975,0.0,Th2_vs_Th1 (Ota 2021),0.0027,1,3.2626,0.0197,2,2.5649,2.5686,2.5588,0.25,9.6155,supported,supported,supported
GRAMD1B,ENSG00000023171,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,0.3191,0.0,Th2_vs_Th1 (Ota 2021),0.0014,1,3.0405,5.05e-06,1,0.2769,2.8539,4.2527,0.3,9.5985,refuted,supported,supported
KLF6,ENSG00000067082,Rest,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.3066,6.0,Th2_vs_Th1 (Ota 2021),0.0014,2,2.0975,0.0068,1,2.3328,2.8539,2.1524,0.3,9.5408,supported,supported,supported
PTGER4,ENSG00000171522,Rest,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.7564,0.0,Th2_vs_Th1 (Ota 2021),0.0005107,1,2.9229,0.0045,6,2.2779,3.2918,2.7208,0.15,9.5341,supported,supported,supported
HDGF,ENSG00000143321,Stim8hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-15.7349,2.0,Th2_vs_Th1 (Ota 2021),0.0022,1,3.2899,0.0114,3,2.5649,2.6576,2.6896,0.2,9.4945,supported,supported,supported
ANXA2,ENSG00000182718,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.9523,1.0,Th2_vs_Th1 (Ota 2021),0.0026,1,2.2157,0.0025,2,2.5613,2.585,2.4488,0.25,9.4939,supported,supported,supported
DOT1L,ENSG00000104885,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,True,-12.4039,175.0,Th2_vs_Th1 (Ota 2021),0.3597,0,3.0405,5.05e-06,1,2.5649,0.4441,4.2527,0.3,9.4402,supported,refuted,supported
CDYL2,ENSG00000166446,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.8289,0.0,Th2_vs_Th1 (Ota 2021),0.0038,1,2.3196,0.002,2,2.5517,2.4202,2.5634,0.25,9.4191,supported,supported,supported
TARS2,ENSG00000143374,Stim8hr,atopic eczema,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,True,-11.9254,1823.0,Th2_vs_Th1 (Ota 2021),0.1779,0,4.8979,0.0005224,1,2.5592,0.7498,3.9332,0.3,9.4148,supported,refuted,supported
AQP3,ENSG00000165272,Rest,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.5171,4.0,Th2_vs_Th1 (Ota 2021),0.0026,1,2.7641,0.0496,1,2.5271,2.585,2.1191,0.3,9.4005,supported,supported,supported
S1PR4,ENSG00000125910,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.9577,14.0,Th2_vs_Th1 (Ota 2021),0.0391,1,2.5487,0.0003376,1,2.5617,1.4078,3.0856,0.3,9.1716,supported,supported,supported
CD40LG,ENSG00000102245,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-17.2996,1.0,Th2_vs_Th1 (Hollbacker 2021),0.0023,1,1.9783,0.0184,1,2.5649,2.6383,1.8519,0.3,9.1716,supported,supported,supported
SOCS1,ENSG00000185338,Rest,ulcerative colitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-6.4435,1.0,Th2_vs_Th1 (Ota 2021),0.0033,1,4.1537,0.0303,2,2.0073,2.4815,2.8137,0.25,9.1281,supported,supported,supported
GLS,ENSG00000115419,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-18.377,319.0,Th2_vs_Th1 (Ota 2021),0.0234,1,2.5487,0.0003376,2,2.5649,1.6308,3.0856,0.25,9.1016,supported,supported,supported
KLF6,ENSG00000067082,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-6.4395,0.0,Th2_vs_Th1 (Ota 2021),0.0014,2,2.0214,0.0062,1,2.0068,2.8539,2.1192,0.3,9.0738,supported,supported,supported
GPR183,ENSG00000169508,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,True,-11.377,3.0,Th2_vs_Th1 (Ota 2021),0.0765,0,3.0405,5.05e-06,2,2.5158,1.1163,4.2527,0.15,9.0676,supported,refuted,supported
ADO,ENSG00000181915,Stim8hr,asthma,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,True,-6.0697,49.0,Th2_vs_Th1 (Hollbacker 2021),0.3378,0,20.424,4.971e-05,21,1.9558,0.4713,6.504,0.0143,9.0587,supported,refuted,supported
PLXNC1,ENSG00000136040,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-5.9315,0.0,Th2_vs_Th1 (Ota 2021),0.0482,1,4.8979,0.0005224,2,1.9361,1.317,3.9332,0.25,8.9827,supported,supported,supported
CD47,ENSG00000196776,Stim48hr,systemic lupus erythematosus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-35.7751,2.0,Th2_vs_Th1 (Ota 2021),0.0178,1,3.2626,0.0197,1,2.5649,1.7496,2.5588,0.3,8.9353,supported,supported,supported
NCK2,ENSG00000071051,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-13.0112,2.0,Th2_vs_Th1 (Ota 2021),0.0013,1,2.2219,0.005,6,2.5649,2.8861,2.3023,0.15,8.9163,supported,supported,supported
ORMDL3,ENSG00000172057,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-1.7499,0.0,Th2_vs_Th1 (Hollbacker 2021),0.0035,2,3.0405,5.05e-06,2,1.0116,2.4559,4.2527,0.15,8.8782,refuted,supported,supported
ATP8B4,ENSG00000104043,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.2456,1.0,Th2_vs_Th1 (Ota 2021),0.0143,1,2.2157,0.0025,1,2.5052,1.8447,2.4488,0.3,8.8382,supported,supported,supported
ELF1,ENSG00000120690,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,0.0,0.0,Th2_vs_Th1 (Ota 2021),2.614e-06,1,1.926,0.0255,3,0.0,5.5827,1.7423,0.2,8.79,refuted,supported,supported
